word	freq
Rheumatoid 	40
Arthritis	50
SLE	50
Pernicious	32
Anemia	22
Vitiligo	20
Scleroderma	26
Psoriasis	26
Inflammatory	15
Osteoarthritis	14
Lupus	23
Multiple sclerosis	10
Ankylosing spondylitis	15
Vasculitis	20
Alopecia areata	10
Bowel	23
Hashimoto	13
Addison	21
Graves	20
Diabetes	20
Methylation	12
RA	18
SLE	17
CSD	15
PA	14
SSc	14
IBD	14
HD	14
AD	13
GD	11
SjS	11
T1D	11
ESR	11
CRP	10
RF	10
anti-CCP	10
Joint	10
Disabled	9
Disorders	9
Disability	9
Pain	9
Health	9
Drug	9
TNF-alpha	9
PTPN22	9
PIAD2	8
Older	8
MTX	8
Bone	8
Medicine	8
Human	8
Ankle	8
Risk	8
GWAS	8
EWAS	7
Gout	7
AS	7
Autoimmune	7
Aging	7
Therapy	7
Sick	7
Skeletal	7
Cure	7
Ache	7
Surgery	7
Trauma	7
Illness	7
Inflamation	7
CD4	6
CD8	6
Genetics	6
Epigenetics	6
DNA	10
DAS-28	6
Stiffness	6
Swelling	6
Pain	6
Redness	6
Warmth	6
Wrists	6
B-cell	6
MTHFR	6
MTHF	6
ABCB1	6
ABCG2	5
HDY	5
China	5
USA	5
GSC	5
SJS	5
Dongyi He	4
Shanghai	5
GHRAC	5
Marshfield Clinic	5
Fudan University	5
Guanghua Hospital	5
UCSD	5
Uthealth	5
now	5
opecs	5
plans	5
qatar	5
quoted	5
research	5
reserve	5
reserves	5
states	5
study	5
united	5
way	5
week	5
west	5
year	5
according	4
added	4
among	4
asked	4
brings	4
buyers	4
can	4
change	4
corp	4
cut	4
day	4
development	4
effective	4
exploration	4
fall	4
february	4
fell	4
free	4
higher	4
increase	4
levels	4
meet	4
must	4
never	4
per	4
policy	4
power	4
problem	4
producing	4
protect	4
pumping	4
reduced	4
revenue	4
revenues	4
rise	4
saying	4
set	4
since	4
spa	4
strategic	4
texas	4
this	4
total	4
transaction	4
weak	4
yesterday	4
13nation	3
address	3
agreed	3
alkhalifa	3
alqabas	3
alsabah	3
announced	3
appears	3
arabian	3
arabias	3
around	3
average	3
back	3
bank	3
bbl	3
boost	3
called	3
commitment	3
companies	3
compared	3
countrys	3
current	3
decrease	3
denied	3
dollars	3
domestic	3
due	3
efp	3
estimate	3
estimates	3
export	3
fixed	3
foreign	3
four	3
future	3
grade	3
guard	3
high	3
hisham	3
however	3
inc	3
indonesia	3
indonesias	3
intermediate	3
kingdoms	3
kuwaits	3
local	3
low	3
lower	3
lowered	3
made	3
main	3
march	3
mckiernan	3
measures	3
mizrahi	3
moves	3
much	3
named	3
next	3
officials	3
plant	3
position	3
president	3
pressure	3
producer	3
projected	3
published	3
real	3
refinery	3
reiterated	3
remain	3
rule	3
say	3
sector	3
several	3
sharp	3
ship	3
six	3
slightly	3
smaller	3
spokeswoman	3
state	3
sweet	3
texaco	3
three	3
trading	3
two	3
weeks	3
york	3
activity	2
adhering	2
agriculture	2
along	2
apparently	2
appeared	2
approved	2
architect	2
areas	2
aspen	2
bankers	2
based	2
benchmark	2
benefits	2
canada	2
canadian	2
cash	2
changed	2
changes	2
circumstance	2
clearly	2
closed	2
coast	2
come	2
committee	2
commodity	2
consumption	2
countries	2
country	2
crossroads	2
crucial	2
cubic	2
currently	2
customers	2
deal	2
decembers	2
decline	2
deficit	2
deposits	2
deputy	2
diamond	2
differentials	2
difficulties	2
direction	2
discounted	2
dlr	2
early	2
ecuador	2
effect	2
embargo	2
embassy	2
entering	2
even	2
falling	2
feb	2
first	2
fiscal	2
fiscales	2
forced	2
fully	2
gcc	2
general	2
given	2
grades	2
halt	2
hit	2
hope	2
humanistic	2
impact	2
import	2
increased	2
increasing	2
instead	2
institute	2
interview	2
investment	2
jersey	2
june	2
keep	2
late	2
light	2
limit	2
limits	2
line	2
lost	2
louisiana	2
lowest	2
major	2
marketing	2
member	2
mid	2
million	2
ministers	2
mitigate	2
months	2
nearing	2
net	2
neutral	2
none	2
nuclear	2
organisation	2
organization	2
outlook	2
overseas	2
pact	2
pay	2
petroliferos	2
planned	2
port	2
positive	2
postings	2
predicted	2
press	2
pricing	2
private	2
probably	2
problems	2
pronounced	2
protected	2
public	2
put	2
quotes	2
raise	2
rate	2
reduction	2
referring	2
remarks	2
reports	2
return	2
review	2
risks	2
riyal	2
selfimposed	2
selling	2
share	2
shortfall	2
spot	2
steady	2
stick	2
strongly	2
studies	2
support	2
take	2
taken	2
techniques	2
throughput	2
trade	2
trust	2
trying	2
uncertainty	2
union	2
value	2
wam	2
wanted	2
weakness	2
winter	2
yacimientos	2
yanbu	2
zero	2
zone	2
able	1
abroad	1
accept	1
across	1
add	1
addressed	1
adherence	1
advantage	1
advisers	1
after	1
agricultural	1
aground	1
allocated	1
allocations	1
allow	1
almost	1
already	1
althani	1
although	1
alvite	1
amidst	1
analysis	1
analyst	1
annual	1
anything	1
apparent	1
aramco	1
argentine	1
arrangement	1
asia	1
asian	1
assesses	1
assign	1
assigned	1
associates	1
attract	1
available	1
averaging	1
aware	1
bahrain	1
bahrains	1
balance	1
baseless	1
basic	1
basis	1
because	1
beginning	1
bijan	1
bin	1
bit	1
bodys	1
briefly	1
broadened	1
brothers	1
buildings	1
burden	1
buy	1
buyer	1
calendar	1
cambridge	1
capacity	1
capozza	1
carrying	1
center	1
century	1
cera	1
certain	1
cftc	1
chairman	1
challenge	1
characterized	1
charging	1
cheap	1
cheating	1
chevron	1
chv	1
cited	1
citing	1
clever	1
close	1
closer	1
closes	1
coming	1
commission	1
communications	1
companys	1
completed	1
complex	1
condition	1
conditions	1
considered	1
construction	1
contacts	1
continuation	1
continue	1
continued	1
continues	1
contracted	1
contributed	1
control	1
cooperation	1
coordination	1
copany	1
corps	1
council	1
counter	1
coupled	1
covered	1
creek	1
critical	1
cts	1
currency	1
custom	1
cuts	1
cutting	1
cypriot	1
daniel	1
david	1
days	1
debtburdened	1
debut	1
decided	1
declared	1
declines	1
deemed	1
defence	1
delaware	1
delivered	1
delivering	1
departments	1
deregulate	1
deregulation	1
determination	1
devalue	1
device	1
differential	1
difficulty	1
dillard	1
director	1
discuss	1
discussing	1
distribution	1
distributions	1
divided	1
doha	1
dollar	1
drawbacks	1
drop	1
dropped	1
earlier	1
earnings	1
eastern	1
easy	1
ecuadors	1
editor	1
edmontonswann	1
education	1
eight	1
either	1
elaborate	1
elections	1
electricity	1
end	1
engineers	1
entitlements	1
environment	1
equally	1
estimated	1
european	1
exceed	1
exceeding	1
excess	1
excesses	1
excessive	1
exerted	1
exist	1
expanded	1
expansion	1
expartners	1
expectations	1
expects	1
explained	1
exporting	1
exxon	1
face	1
faced	1
faces	1
facilities	1
facing	1
failed	1
fallen	1
favours	1
fee	1
fernando	1
figure	1
figures	1
finance	1
firmer	1
floating	1
followed	1
for	1
forces	1
foremost	1
fourth	1
frank	1
full	1
fundamentals	1
gas	1
generally	1
geneva	1
get	1
globalization	1
glut	1
guaranteed	1
halting	1
harvard	1
heads	1
health	1
hedge	1
hedged	1
helped	1
hemisphere	1
highly	1
hills	1
hitting	1
hoped	1
housing	1
houston	1
immediately	1
implementation	1
improve	1
improvement	1
include	1
including	1
independent	1
indications	1
initiate	1
initiative	1
institutions	1
interbank	1
interest	1
investments	1
issue	1
jamaica	1
jan	1
juaymah	1
jubail	1
jump	1
just	1
khalifa	1
lack	1
largest	1
later	1
latest	1
launched	1
lead	1
leading	1
learn	1
least	1
lending	1
less	1
lesson	1
level	1
liberalised	1
lift	1
liftings	1
like	1
lines	1
liquidity	1
little	1
loan	1
lodged	1
longterm	1
ltd	1
lukman	1
lull	1
maintain	1
make	1
manager	1
manipulate	1
many	1
marathon	1
marathons	1
marker	1
mcfadden	1
means	1
mercantile	1
metrers	1
metres	1
mid1960s	1
mid1986	1
mideast	1
minus	1
mlotok	1
mob	1
mobil	1
momentum	1
money	1
monopolies	1
monthend	1
moussavarrahmani	1
movement	1
nation	1
natural	1
need	1
needs	1
negative	1
negotiate	1
neither	1
network	1
news	1
newspaper	1
nigerian	1
nine	1
nonoil	1
northern	1
notes	1
offset	1
onetwelfth	1
oneweek	1
open	1
opens	1
operations	1
opposite	1
optimism	1
optimistic	1
option	1
order	1
organiaation	1
our	1
outlining	1
outside	1
overproducing	1
part	1
parties	1
partly	1
party	1
past	1
paths	1
paul	1
paulsboro	1
payments	1
pegged	1
performance	1
period	1
pertains	1
pessimistic	1
philadelphia	1
physical	1
placed	1
plastics	1
platinum	1
point	1
policies	1
political	1
population	1
positions	1
postponed	1
pressures	1
previous	1
primarily	1
primary	1
principal	1
procedure	1
produce	1
produced	1
producers	1
product	1
products	1
program	1
projection	1
projects	1
prompted	1
proposed	1
proved	1
providing	1
provision	1
publish	1
purposes	1
quarter	1
quiet	1
quietly	1
quotas	1
rallied	1
ran	1
ranging	1
ras	1
rates	1
rationalise	1
readdress	1
reaffirmed	1
reasonable	1
recommending	1
recovering	1
recurrent	1
reference	1
refineries	1
refining	1
reflect	1
refloat	1
reform	1
reforms	1
regain	1
regard	1
regarding	1
region	1
regional	1
reiterate	1
relaxation	1
relieve	1
reluctant	1
remainder	1
remained	1
reported	1
request	1
resistance	1
resisting	1
resources	1
respectively	1
responsibilites	1
restored	1
restraint	1
restrictions	1
result	1
reuters	1
revealed	1
reviews	1
right	1
rilwanu	1
rising	1
river	1
rocks	1
rosemary	1
rumour	1
rushing	1
sales	1
salomon	1
santos	1
satisfied	1
saw	1
scheduled	1
scheme	1
seapride	1
season	1
secretary	1
security	1
seeing	1
seek	1
september	1
series	1
serve	1
services	1
session	1
sets	1
seven	1
severely	1
shamrock	1
sharply	1
shoulder	1
show	1
showed	1
shown	1
signed	1
signs	1
situation	1
sixmonth	1
slackens	1
slide	1
slump	1
social	1
sold	1
soon	1
sort	1
sour	1
south	1
southeast	1
spend	1
spill	1
spoke	1
spokesman	1
spotnext	1
spriggs	1
stabilise	1
stabilize	1
stable	1
start	1
statement	1
steel	1
steering	1
steps	1
stiff	1
storage	1
strong	1
subsequently	1
substitution	1
succeed	1
suffer	1
